Abbreviation,Name,Year,Price,Adjusted price
OUYA,['name'],2013,99.0,99.0
WIIU,['name'],2012,299.0,302.0524522085284
VITA,['name'],2012,249.0,251.54200869539653
3DS,['name'],2011,250.0,257.7942742824329
IPAD,['name'],2010,499.0,530.720889577374
ZBO,['name'],2009,280.0,302.6824317868819
DIDJ,['name'],2008,90.0,96.97993187126387
IPHN,['name'],2007,599.0,670.0791441765502
PS3,['name'],2006,599.0,689.3141030305535
WII,['name'],2006,249.0,286.5429242981767
HSCN,['name'],2006,70.0,80.55423574647537
X360,['name'],2005,399.0,473.9536620860362
GIZ,['name'],2005,229.0,272.01851783885286
GWAV,['name'],2005,99.0,117.59752517924206
VSML,['name'],2005,90.0,106.90684107203825
PSP,['name'],2005,249.0,295.77559363263913
DS,['name'],2004,150.0,184.1752393136001
XAVX,['name'],2004,79.0,96.99895937182939
ZOD,['name'],2004,299.0,367.1226436984429
LEAP,['name'],2003,80.0,100.8470652173913
NGE,['name'],2003,299.0,376.91590625
XBOX,['name'],2001,299.0,391.72996987526477
GP32,['name'],2001,160.0,209.6213885620146
IPOD,['name'],2001,399.0,522.7433377265239
GC,['name'],2001,199.0,260.7166020240057
GBA,['name'],2001,100.0,131.01336785125915
WSC,['name'],2000,59.0,79.47508154672602
PS2,['name'],2000,299.0,402.7635488554421
64DD,['name'],1999,300.0,417.715707853927
NGPC,['name'],1999,70.0,97.46699849924964
DC,['name'],1998,199.0,283.1616077910127
GBC,['name'],1998,70.0,99.6045856551301
GCOM,['name'],1997,70.0,101.14547578258838
N64,['name'],1996,199.0,294.2636248206981
PIPN,['name'],1995,599.0,911.7598277370664
VBOY,['name'],1995,179.0,272.46245269605157
BS-X,['name'],1995,145.0,220.7098080498742
PS1,['name'],1994,299.0,467.8868392646315
32X,['name'],1994,159.0,248.80938944172712
SAT,['name'],1994,399.0,624.3707319952775
PDIA,['name'],1994,295.0,461.62748355540566
NGCD,['name'],1994,300.0,469.45167819193796
JAG,['name'],1993,250.0,401.3639903097422
CD32,['name'],1993,250.0,401.3639903097422
3DO,['name'],1993,700.0,1123.8191728672782
LACT,['name'],1993,970.0,1557.2922824017999
SCD,['name'],1992,299.0,494.28658371443856
SVIS,['name'],1992,50.0,82.65661935024056
CDI,['name'],1991,700.0,1192.3900244798042
CDTV,['name'],1991,799.0,1361.0280422276624
SNES,['name'],1990,199.0,353.2702474647618
GG,['name'],1990,150.0,266.28410612921743
NEO,['name'],1990,650.0,1153.8977932266089
LYNX,['name'],1989,190.0,355.5718483157399
GB,['name'],1989,179.0,334.9861097290392
FMT,['name'],1989,3000.0,5614.292341827472
TGCD,['name'],1988,400.0,784.437116888607
GEN,['name'],1988,189.0,370.6465377298668
TG16,['name'],1987,199.0,406.2581934868711
ACRN,['name'],1987,1499.0,3060.2061911397977
X68K,['name'],1987,3000.0,6124.495379199061
AMAX,['name'],1986,99.0,209.34021195776037
A2GS,['name'],1986,1000.0,2114.547595532933
7800,['name'],1986,140.0,296.0366633746106
SMS,['name'],1985,200.0,431.1305762081784
AMI,['name'],1985,1295.0,2791.570480947955
AST,['name'],1985,1000.0,2155.652881040892
C128,['name'],1985,300.0,646.6958643122676
HALC,['name'],1984,2500.0,5579.25553239256
C16,['name'],1984,99.0,220.93851908274536
CPC,['name'],1984,800.0,1785.361770365619
MAC,['name'],1984,2495.0,5568.097021327774
NES,['name'],1983,200.0,465.83748953974896
FDS,['name'],1983,150.0,349.3781171548118
SG1K,['name'],1983,241.0,561.3341748953975
AQUA,['name'],1983,160.0,372.6699916317992
FM7,['name'],1982,500.0,1201.3894164364638
AVIS,['name'],1982,70.0,168.19451830110492
VECT,['name'],1982,199.0,478.1529877417126
PC98,['name'],1982,1400.0,3363.8903660220985
C64,['name'],1982,595.0,1429.653405559392
DRAG,['name'],1982,450.0,1081.2504747928174
CVIS,['name'],1982,200.0,480.55576657458545
SPEC,['name'],1982,249.0,598.291929385359
Atari 5200,['name'],1982,270.0,648.7502848756905
A2K1,['name'],1982,200.0,480.55576657458545
BBCM,['name'],1981,399.0,1017.7494693914958
PC,['name'],1981,1565.0,3991.924610520528
CASV,['name'],1981,135.0,344.3513242302053
TI99,['name'],1981,525.0,1339.1440386730208
COCO,['name'],1980,399.0,1123.3746924944367
TRS8,['name'],1980,600.0,1689.285251871333
VC20,['name'],1980,300.0,844.6426259356665
A800,['name'],1979,1000.0,3195.613088404133
INTV,['name'],1979,299.0,955.4883134328359
ODY2,['name'],1978,200.0,711.04330054924
2600,['name'],1977,200.0,765.2952983227935
CBM,['name'],1977,500.0,1913.238245806984
APL2,['name'],1977,1300.0,4974.419439098158
BAST,['name'],1977,299.0,1144.1164709925763
RCA2,['name'],1977,149.0,570.1449972504812
CHNF,['name'],1976,170.0,692.5855240046839
ODY,['name'],1972,100.0,554.789515646801
ARC,['name'],1971,700.0,4010.632564841499
PLATO,['name'],1960,12000.0,94080.75038026024
