Abbreviation,Name,Year,Price,Adjusted price
OUYA,['name'],2013,99.0,99.0
WIIU,['name'],2012,299.0,302.0524522085284
VITA,['name'],2012,249.0,251.54200869539653
3DS,['name'],2011,250.0,257.7942742824329
IPAD,['name'],2010,499.0,530.720889577374
ZBO,['name'],2009,280.0,302.6824317868819
DIDJ,['name'],2008,90.0,96.97993187126387
IPHN,['name'],2007,599.0,670.0791441765502
PS3,['name'],2006,599.0,689.3141030305535
WII,['name'],2006,249.0,286.5429242981767
HSCN,['name'],2006,70.0,80.55423574647537
X360,['name'],2005,399.0,473.9536620860362
GIZ,['name'],2005,229.0,272.01851783885286
GWAV,['name'],2005,99.0,117.59752517924206
VSML,['name'],2005,90.0,106.90684107203825
PSP,['name'],2005,249.0,295.77559363263913
DS,['name'],2004,150.0,184.1752393136001
XAVX,['name'],2004,79.0,96.99895937182939
ZOD,['name'],2004,299.0,367.1226436984429
LEAP,['name'],2003,80.0,100.8470652173913
NGE,['name'],2003,299.0,376.91590625
XBOX,['name'],2001,299.0,391.72996987526477
GP32,['name'],2001,160.0,209.6213885620146
IPOD,['name'],2001,399.0,522.7433377265239
GC,['name'],2001,199.0,260.7166020240057
GBA,['name'],2001,100.0,131.01336785125915
WSC,['name'],2000,59.0,79.47508154672602
PS2,['name'],2000,299.0,402.7635488554421
64DD,['name'],1999,300.0,417.715707853927
NGPC,['name'],1999,70.0,97.46699849924964
DC,['name'],1998,199.0,283.1616077910127
GBC,['name'],1998,70.0,99.6045856551301
GCOM,['name'],1997,70.0,101.14547578258838
N64,['name'],1996,199.0,294.2636248206981
PIPN,['name'],1995,599.0,911.7598277370664
VBOY,['name'],1995,179.0,272.46245269605157
BS-X,['name'],1995,145.0,220.7098080498742
PS1,['name'],1994,299.0,467.8868392646315
32X,['name'],1994,159.0,248.80938944172712
SAT,['name'],1994,399.0,624.3707319952775
